tns_name,dm,dm_err,ra,ra_err,dec,dec_err,fluence,fluence_err,flux,flux_err,exp_up,exp_up_err,exp_low,exp_low_err,notes
FRB20190320A,614.25,0.11,61.3282,34,63.361,40,6.1,1.6,2.01,0.25,39.88,0.22,0.0,0.0,-9999
FRB20190320B,489.5006,0.0080,250.5549,15,39.7956,16,11.8,1.8,11.3,1.1,23.1,0.0,0.0,0.0,-9999
FRB20190320E,299.094,0.021,67.7107,19,89.1340,22,17.7,2.9,7.31,0.76,1279,22,1121,19,-9999
FRB20190322A,1059.679,0.076,110.564,94,51.176,79,15.3,1.8,0.687,0.095,19.4,3.8,0.0,0.0,-9999
FRB20190323B,789.5272,0.0075,192.8926,12,77.1408,12,16.3,2.1,22.3,2.2,64.6,1.7,74.52,0.14,-9999
FRB20190327A,346.5793,0.0073,281.3318,14,34.2765,14,8.9,1.6,7.02,0.71,15.31,0.77,0.0,0.0,-9999
FRB20190405B,1113.718,0.067,306.6506,33,88.6207,28,53.3,7.2,8.8,1.0,681.7,8.4,684.9,2.8,-9999
FRB20190410B,642.1523,0.0077,267.6038,14,15.1121,17,359,71,365,37,18.28,0.23,0.0,0.0,-9999
FRB20190411B,1229.4168,0.0067,154.102,47,29.317,119,5.0,2.0,1.54,0.21,14.7,1.5,0.0,0.0,-9999
FRB20190411C,233.7140,0.0082,10.6856,11,20.4790,12,91.8,9.3,51.9,5.2,19.202,0.093,0.0,0.0,-9999
FRB20190412A,364.548,0.013,243.2154,18,61.8405,19,11.5,1.7,3.47,0.37,37.93,0.21,0.0,0.0,-9999
FRB20190417C,320.2664,0.0043,45.6485,11,71.2554,11,77.9,7.9,105,10,12.5,9.7,39.66,0.55,-9999
FRB20190418A,184.4726,0.0033,65.8093,26,16.0791,33,4.8,1.9,2.87,0.34,18.37,0.28,0.0,0.0,-9999
FRB20190419B,165.128,0.017,256.4518,15,86.7633,19,21.5,3.9,17.6,1.8,302.5,3.1,39.5,2.9,-9999
FRB20190420B,846.6459,0.0088,94.443,40,70.074,40,39.5,4.8,3.19,0.37,21.1,9.3,41.4,0.0,-9999
FRB20190423A,242.5998,0.0079,179.4682,11,55.3180,11,362,36,77.9,7.8,28.21,0.55,0.0,0.0,-9999
FRB20190423D,496.34,0.95,30.0391,23,84.6806,30,22.0,2.4,1.91,0.22,174.7,5.3,190.5,1.9,-9999
FRB20190425A,128.135,0.013,255.6698,12,21.5779,12,30.3,3.3,56.7,5.7,18.44,0.20,0.0,0.0,-9999
FRB20190425B,1031.633,0.013,153.4102,15,88.3676,17,24.9,4.4,21.7,2.2,541.3,5.3,266,30,-9999
FRB20190427A,455.783,0.011,78.9486,22,7.8184,30,9.2,2.6,6.06,0.65,17.80,0.23,0.0,0.0,-9999
FRB20190430C,400.35,0.34,277.2066,14,24.7650,16,8.6,1.6,3.98,0.42,8.0,2.0,0.0,0.0,-9999
FRB20190501B,783.9668,0.0036,261.1994,27,54.2544,19,20.8,3.5,9.65,0.99,20.3,2.0,0.0,0.0,-9999
FRB20190502A,625.738,0.014,165.0863,15,59.9156,16,19.0,2.2,5.03,0.51,35.44,0.22,0.0,0.0,-9999
FRB20190502B,918.65,0.22,212.0159,33,64.459,36,19.5,4.1,4.13,0.50,10.9,7.2,0.0,0.0,-9999
FRB20190502C,396.8781,0.0092,155.1462,17,82.9981,25,26.5,4.6,19.7,2.0,124.1,4.2,17.8,2.6,-9999
