tns_name,previous_name,repeater_name,ra,ra_err,ra_notes,dec,dec_err,dec_notes,gl,gb,exp_up,exp_up_err,exp_up_notes,exp_low,exp_low_err,exp_low_notes,bonsai_snr,bonsai_dm,low_ft_68,up_ft_68,low_ft_95,up_ft_95,snr_fitb,dm_fitb,dm_fitb_err,dm_exc_ne2001,dm_exc_ymw16,bc_width,scat_time,scat_time_err,flux,flux_err,flux_notes,fluence,fluence_err,fluence_notes,sub_num,mjd_400,mjd_400_err,mjd_inf,mjd_inf_err,width_fitb,width_fitb_err,sp_idx,sp_idx_err,sp_run,sp_run_err,high_freq,low_freq,peak_freq,chi_sq,dof,flag_frac,excluded_flag
FRB20181123A,-9999,-9999,300.76,0.023,-9999,55.87,0.18,-9999,89.71,12.94,23.0,11.0,-9999,-9999.0,-9999.0,-9999,17.0,797.4,0.0,2.3,0.0,4.2,19.7,798.718,0.018,694.9,680.8,0.00197,0.00192,0.00054,0.99,0.49,-9999,2.5,1.1,-9999,0,58445.994296863,7.1e-09,58445.9940573556,8.9e-09,0.00058,0.00026,25.6,4.0,-64.3,9.4,590.2,404.2,488.5,400000.022,399449,0.358,0
FRB20181124B,-9999,-9999,318.56,0.17,-9999,29.88,0.18,-9999,76.68,-12.89,13.7,5.2,-9999,-9999.0,-9999.0,-9999,29.0,800.7,0.0,2.4,0.0,4.2,33.8,801.6446,0.0039,696.7,717.8,0.00393,0.000204,4.3e-05,2.61,0.91,-9999,4.8,1.6,-9999,0,58446.0442020446,1.6e-09,58446.0439616598,2e-09,0.001119,6.2e-05,-1.43,0.57,2.32,0.76,800.2,400.2,800.2,303747.982,301049,0.344,0
FRB20181125A,-9999,-9999,147.94,0.18,-9999,33.93,0.041,-9999,191.59,51.02,9.0,8.7,-9999,-9999.0,-9999.0,-9999,18.3,278.2,0.0,2.9,0.0,5.7,34.5,272.19,0.02,234.2,247.6,0.01475,<0.0015,-9999.0,0.39,0.33,-9999,3.2,2.0,-9999,2,58447.567716883,1.1e-08,58447.567635263,1.2e-08,0.00158,0.00044,7.3,8.2,-58.0,40.0,520.9,400.2,426.5,614002.141,611936,0.345,0
FRB20181126A,-9999,-9999,262.05,0.18,-9999,81.17,0.19,-9999,113.4,29.94,75.0,44.0,-9999,61.0,39.0,-9999,51.6,493.3,8.8,3.3,17.5,6.5,111.0,494.2168,0.0029,444.6,449.6,0.00197,0.000165,2.1e-05,3.5,2.1,-9999,9.4,5.1,-9999,0,58448.87558304407,7.5e-10,58448.875434846,1.1e-09,0.000407,2.5e-05,17.93,0.67,-90.7,2.9,518.1,400.2,441.8,420100.63,407961,0.345,0
FRB20181127A,-9999,-9999,243.8,0.23,-9999,25.43,0.25,-9999,42.85,44.61,11.8,8.0,-9999,-9999.0,-9999.0,-9999,15.7,930.1,0.0,2.9,0.0,5.3,27.6,930.317,0.012,898.1,901.2,0.00393,0.000582,9e-05,0.78,0.46,-9999,2.9,1.3,-9999,0,58449.8237182904,4.3e-09,58449.8234393213,5.6e-09,0.00074,0.00013,18.5,2.2,-51.3,5.6,592.3,400.2,479.3,407208.462,406745,0.347,0
FRB20181128A,181128.J0456+63,FRB20181128A,73.92,0.14,-9999,63.22,0.073,-9999,146.73,12.3,13.0,13.0,A significant fraction of the localization region of the burst is falling between the FWHM of two beams resulting in a large error on the exposure. See Section 2.2.,-9999.0,-9999.0,-9999,23.4,446.4,0.0,5.9,0.0,25.6,35.7,450.3823,0.0092,338.0,298.4,0.02163,0.00399,0.0005,0.64,0.37,-9999,8.1,3.8,-9999,1,58450.352565152,8.5e-09,58450.3524300983,8.9e-09,0.00182,0.00036,15.1,2.7,-40.9,6.9,610.4,400.2,481.5,800131.22,796468,0.36,0
FRB20181128B,-9999,-9999,157.22,0.2,-9999,38.28,0.048,-9999,183.27,58.24,12.2,9.1,-9999,-9999.0,-9999.0,-9999,13.3,454.5,0.0,1.3,0.0,2.4,17.2,456.548,0.027,423.0,435.9,0.0059,0.00044,0.00011,0.34,0.21,-9999,1.95,0.85,-9999,0,58450.5853709007,4.4e-09,58450.5852339982,9.3e-09,0.00168,0.00027,-3.5,1.4,-2.2,2.9,661.3,400.2,400.2,400872.001,399449,0.358,0
FRB20181128D,-9999,-9999,215.62,0.031,-9999,59.93,0.12,-9999,103.82,53.69,30.9,6.7,-9999,-9999.0,-9999.0,-9999,47.0,147.2,0.0,1.0,0.0,1.9,55.3,146.5012,0.0037,113.8,121.3,0.00197,0.0001059,1.4e-06,2.6,1.1,-9999,7.0,2.9,-9999,0,58450.74540773198,7.4e-10,58450.7453638015,1.3e-09,0.001071,4.2e-05,-2.48,0.35,0.28,0.58,800.2,400.2,400.2,356532.355,354457,0.431,0
FRB20181129A,-9999,-9999,355.12,0.18,-9999,44.95,0.17,-9999,109.96,-16.13,18.7,7.8,-9999,-9999.0,-9999.0,-9999,25.4,386.6,0.0,2.4,0.0,4.5,34.7,385.9684,0.0019,299.2,305.5,0.00295,<0.00064,-9999.0,1.52,0.79,-9999,3.1,1.5,-9999,0,58451.1306265636,3.9e-09,58451.1305108254,3.9e-09,0.000588,2.4e-05,2.7,0.66,-5.21,0.97,800.2,400.2,518.2,400085.882,397626,0.361,0
FRB20181129C,-9999,-9999,233.38,0.19,-9999,40.03,0.19,-9999,64.61,54.23,16.6,8.2,-9999,-9999.0,-9999.0,-9999,18.3,503.0,0.0,3.7,0.0,6.6,23.1,502.2158,0.0097,475.7,477.5,0.00492,0.00164,0.00031,0.77,0.31,-9999,3.6,1.2,-9999,0,58451.7919478849,6.5e-09,58451.7917972882,7.1e-09,0.00118,0.00014,2.1,1.3,-3.2,1.5,800.2,400.2,560.6,388487.846,386073,0.38,0
